,Date,Open,High,Close,Adj Close,Volume,compound,subjectivity,polarity,rsi,stocastic_oscillator,mfi,macd,ema,vwap,obv,bbands_upper,bbands_lower,chaikin,target
60,7/21/2022,154.5,155.5700073,155.3500061,154.6414795,65086600,-0.128,0.458900227,0.126587302,65.31032828,98.8950217,0.432864087,2.71078837,147.7412367,146.4306957,631699900,155.5328815,138.4842606,14997336.32,155.3899994
61,7/22/2022,155.3899994,156.2799988,154.0899963,153.3872223,66675400,0.25,0.376476681,0.048760062,62.8081365,88.6821615,0.33379844,2.962054805,148.587738,147.5763907,565024500,156.0698023,140.1130546,-13383066.45,154.0099945
62,7/25/2022,154.0099945,155.0399933,152.9499969,152.2524261,53623900,0,0.361862991,0.053247703,60.54790343,78.09208882,0.239671734,3.034220239,149.1693725,148.4557295,511400600,156.3590513,141.4509484,-21393009.99,152.2599945
63,7/26/2022,152.2599945,153.0899963,151.6000061,150.9085846,55138700,0,0.47414632,0.055991396,57.89109658,66.94921281,0.211053436,2.948490523,149.493457,149.0885486,456261900,156.2974508,142.75255,-19232767.72,152.5800018
64,7/27/2022,152.5800018,157.3300018,156.7899933,156.0749054,78620700,-0.6908,0.46066275,0.178172026,64.36489359,96.44964953,0.212521176,3.261738407,150.4663285,149.8474345,534882600,157.7434373,142.7979903,8475422.259,156.9799957
65,7/28/2022,156.9799957,157.6399994,157.3500061,156.63237,81378700,0,0.420626653,0.098402364,64.99033901,98.13148707,0.237078739,3.514663117,151.3841522,150.6032047,616261300,159.0699648,142.9443218,20493984.5,161.2400055
66,7/29/2022,161.2400055,163.6300049,162.5099945,161.7688141,101786900,0.0018,0.477549842,0.183530396,70.18321154,94.79307361,0.287750666,4.084393368,152.8675978,152.0485546,718048200,161.5246717,143.0096148,17124721.32,161.0099945
67,8/1/2022,161.0099945,163.5899963,161.5099945,160.7733765,67829400,0.7269,0.412244898,0.14247449,68.07580417,90.14407525,0.29433634,4.40444535,154.0199174,153.1304584,650218800,163.0484922,143.7215077,-12301693.2,160.1000061
68,8/2/2022,160.1000061,162.4100037,160.0099945,159.2802124,59907000,0.3182,0.42578373,0.060465368,64.9265098,82.23744108,0.215582071,4.485347098,154.8185943,154.1697925,590311800,163.5770176,145.2672665,-25401508.68,160.8399963
69,8/3/2022,160.8399963,166.5899963,166.1300049,165.3723145,82507500,0,0.546864295,0.041146245,70.85143916,97.68732293,0.219106782,4.985822548,156.3267824,155.5649643,672819300,166.0029056,145.3642361,7515964.975,166.0099945
